"state","Type","Ownership","Overall_rating","Mortality","Safety_of_care","Readmission","Patient_experience","Effectiveness_of_Care","Timeliness_of_Care","Medical_imaging"
"IL","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Government - Local","1","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"TX","Acute Care Hospitals","Government - Hospital District or Authority","5","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"WA","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ID","Acute Care Hospitals","Physician","5","Not Available","Above the national average","Above the national average","Above the national average","Same as the national average","Not Available","Same as the national average"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"GA","Acute Care Hospitals","Voluntary non-profit - Other","1","Same as the national average","Below the national average","Below the national average","Below the national average","Below the national average","Below the national average","Same as the national average"
"AL","Acute Care Hospitals","Proprietary","4","Not Available","Not Available","Above the national average","Not Available","Same as the national average","Above the national average","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"SC","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"ND","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Not Available","Same as the national average","Above the national average","Same as the national average"
"FL","Acute Care Hospitals","Proprietary","1","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"MD","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"MO","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
