"Values","Freq","category","state"
"Acute Care Hospitals",0.142857142857143,"Type","AK"
"Childrens",0,"Type","AK"
"Critical Access Hospitals",0.857142857142857,"Type","AK"
"Government - Federal",0,"Ownership","AK"
"Government - Hospital District or Authority",0,"Ownership","AK"
"Government - Local",0.428571428571429,"Ownership","AK"
"Government - State",0,"Ownership","AK"
"Physician",0,"Ownership","AK"
"Proprietary",0,"Ownership","AK"
"Tribal",0,"Ownership","AK"
"Voluntary non-profit - Church",0.142857142857143,"Ownership","AK"
"Voluntary non-profit - Other",0,"Ownership","AK"
"Voluntary non-profit - Private",0.428571428571429,"Ownership","AK"
"1",0,"Overall_rating","AK"
"2",0,"Overall_rating","AK"
"3",0.142857142857143,"Overall_rating","AK"
"4",0.285714285714286,"Overall_rating","AK"
"5",0,"Overall_rating","AK"
"Not Available",0.571428571428571,"Overall_rating","AK"
"Above the national average",0,"Mortality","AK"
"Below the national average",0,"Mortality","AK"
"Not Available",0.714285714285714,"Mortality","AK"
"Same as the national average",0.285714285714286,"Mortality","AK"
"Above the national average",0,"Safety_of_care","AK"
"Below the national average",0,"Safety_of_care","AK"
"Not Available",0.857142857142857,"Safety_of_care","AK"
"Same as the national average",0.142857142857143,"Safety_of_care","AK"
"Above the national average",0.285714285714286,"Readmission","AK"
"Below the national average",0,"Readmission","AK"
"Not Available",0.571428571428571,"Readmission","AK"
"Same as the national average",0.142857142857143,"Readmission","AK"
"Above the national average",0.285714285714286,"Patient_experience","AK"
"Below the national average",0,"Patient_experience","AK"
"Not Available",0.571428571428571,"Patient_experience","AK"
"Same as the national average",0.142857142857143,"Patient_experience","AK"
"Above the national average",0,"Effectiveness_of_Care","AK"
"Below the national average",0,"Effectiveness_of_Care","AK"
"Not Available",0.714285714285714,"Effectiveness_of_Care","AK"
"Same as the national average",0.285714285714286,"Effectiveness_of_Care","AK"
"Above the national average",0,"Timeliness_of_Care","AK"
"Below the national average",0,"Timeliness_of_Care","AK"
"Not Available",0.714285714285714,"Timeliness_of_Care","AK"
"Same as the national average",0.285714285714286,"Timeliness_of_Care","AK"
"Above the national average",0,"Medical_imaging","AK"
"Below the national average",0,"Medical_imaging","AK"
"Not Available",0.571428571428571,"Medical_imaging","AK"
"Same as the national average",0.428571428571429,"Medical_imaging","AK"
"Acute Care Hospitals",0.909090909090909,"Type","AL"
"Childrens",0.0454545454545455,"Type","AL"
"Critical Access Hospitals",0.0454545454545455,"Type","AL"
"Government - Federal",0,"Ownership","AL"
"Government - Hospital District or Authority",0.318181818181818,"Ownership","AL"
"Government - Local",0.0909090909090909,"Ownership","AL"
"Government - State",0.0454545454545455,"Ownership","AL"
"Physician",0,"Ownership","AL"
"Proprietary",0.227272727272727,"Ownership","AL"
"Tribal",0,"Ownership","AL"
"Voluntary non-profit - Church",0.0454545454545455,"Ownership","AL"
"Voluntary non-profit - Other",0.0454545454545455,"Ownership","AL"
"Voluntary non-profit - Private",0.227272727272727,"Ownership","AL"
"1",0,"Overall_rating","AL"
"2",0.0909090909090909,"Overall_rating","AL"
"3",0.318181818181818,"Overall_rating","AL"
"4",0.363636363636364,"Overall_rating","AL"
"5",0,"Overall_rating","AL"
"Not Available",0.227272727272727,"Overall_rating","AL"
"Above the national average",0,"Mortality","AL"
"Below the national average",0.0454545454545455,"Mortality","AL"
"Not Available",0.272727272727273,"Mortality","AL"
"Same as the national average",0.681818181818182,"Mortality","AL"
"Above the national average",0.0454545454545455,"Safety_of_care","AL"
"Below the national average",0,"Safety_of_care","AL"
"Not Available",0.909090909090909,"Safety_of_care","AL"
"Same as the national average",0.0454545454545455,"Safety_of_care","AL"
"Above the national average",0.227272727272727,"Readmission","AL"
"Below the national average",0.181818181818182,"Readmission","AL"
"Not Available",0.227272727272727,"Readmission","AL"
"Same as the national average",0.363636363636364,"Readmission","AL"
"Above the national average",0.181818181818182,"Patient_experience","AL"
"Below the national average",0.0909090909090909,"Patient_experience","AL"
"Not Available",0.454545454545455,"Patient_experience","AL"
"Same as the national average",0.272727272727273,"Patient_experience","AL"
"Above the national average",0,"Effectiveness_of_Care","AL"
"Below the national average",0.0909090909090909,"Effectiveness_of_Care","AL"
"Not Available",0.136363636363636,"Effectiveness_of_Care","AL"
"Same as the national average",0.772727272727273,"Effectiveness_of_Care","AL"
"Above the national average",0.409090909090909,"Timeliness_of_Care","AL"
"Below the national average",0,"Timeliness_of_Care","AL"
"Not Available",0.0909090909090909,"Timeliness_of_Care","AL"
"Same as the national average",0.5,"Timeliness_of_Care","AL"
"Above the national average",0,"Medical_imaging","AL"
"Below the national average",0.136363636363636,"Medical_imaging","AL"
"Not Available",0.545454545454545,"Medical_imaging","AL"
"Same as the national average",0.318181818181818,"Medical_imaging","AL"
"Acute Care Hospitals",0.2,"Type","AR"
"Childrens",0,"Type","AR"
"Critical Access Hospitals",0.8,"Type","AR"
"Government - Federal",0,"Ownership","AR"
"Government - Hospital District or Authority",0,"Ownership","AR"
"Government - Local",0.133333333333333,"Ownership","AR"
"Government - State",0,"Ownership","AR"
"Physician",0,"Ownership","AR"
"Proprietary",0.266666666666667,"Ownership","AR"
"Tribal",0,"Ownership","AR"
"Voluntary non-profit - Church",0,"Ownership","AR"
"Voluntary non-profit - Other",0.133333333333333,"Ownership","AR"
"Voluntary non-profit - Private",0.466666666666667,"Ownership","AR"
"1",0,"Overall_rating","AR"
"2",0.2,"Overall_rating","AR"
"3",0.266666666666667,"Overall_rating","AR"
"4",0.2,"Overall_rating","AR"
"5",0,"Overall_rating","AR"
